Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0 (Prime); WT YAP; Abundance 1221003,t=24 (NMP); WT YAP; Abundance 1221004,t=36; WT YAP; Abundance 1221005,t=48 (PSM); WT YAP; Abundance 1221006,t=0 (Prime); WT TAZ; Abundance 1221007,t=24 (NMP); WT TAZ; Abundance 1221008,t=36; WT TAZ; Abundance 1221009,t=48 (PSM); WT TAZ; Abundance 1221010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BQG0,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,38,43,342,43,148.8,MYBBP1A,56314529.30,98984097.30,22532710.34,36326728.93,25562419.92,132125938.33,82824593.85,3379152.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,42,16,335,16,50.1,EEF1A1,76385979.19,262452231.15,50779171.81,59294170.68,28369179.57,253251072.23,95533029.95,16501454.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6FI13,Histone H2A type 2-A OS=Homo sapiens OX=9606 GN=H2AC19 PE=1 SV=3,68,9,333,2,14.1,H2AC18; H2AC19,38770070.29,39415051.12,14256825.80,2681521.89,4357874.46,53037471.42,21167060.12,1317795.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,47,31,328,25,70.9,HSPA8,55111292.93,110258528.32,32772817.57,42189769.67,22714623.88,87031072.03,65805035.34,13761891.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z406,Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2,28,45,326,34,227.7,MYH14,3785776.56,28757732.09,3269668.73,3005609.76,1817118.79,15816466.10,5768186.31,732045.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,45,18,322,9,33.7,HNRNPC,90685267.75,249497760.84,49252331.02,72781385.15,30505141.83,276680087.24,65819239.22,6650886.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04908,Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC8 PE=1 SV=2,68,9,320,2,14.1,H2AC4; H2AC8,224304191.24,689352362.55,229565207.35,208243780.85,99780767.20,740751377.33,243103335.03,52592924.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99880,Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3,59,9,318,0,13.9,H2BC13,,,866283.44,,,,1442125.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60814,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3,59,9,313,1,13.9,H2BC12,928044228.06,1164565008.11,497977141.65,348863680.97,153530733.22,1126573235.39,465860163.50,91549857.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHB6,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,60,39,313,39,85.2,LIMA1,76528207.17,159445451.82,41833756.19,43729040.96,33134750.84,142019894.95,94644148.13,14350130.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O76021,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,54,36,309,36,54.9,RSL1D1,59220398.50,122137375.49,30305484.67,37423371.10,28014890.17,122004025.39,102564010.25,8193915.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75533,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,45,46,307,46,145.7,SF3B1,11451466.70,82775377.54,23884836.65,38500797.74,18881486.19,88983256.65,49286900.04,26784351.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46087,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,41,32,306,32,89.2,NOP2,56596908.47,142723436.55,32503862.69,49575866.22,26711943.09,165479044.94,98128482.83,16068994.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P10412,Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2,39,16,304,5,21.9,H1-4,132209328.57,680988344.42,230497195.99,115956491.17,34995656.25,440112728.87,136277056.96,35286587.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00159,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,40,42,301,41,121.6,MYO1C,52467108.94,68774138.42,14574844.97,20261197.24,21898943.88,56999671.04,47518379.61,2844205.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75691,Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,24,59,297,59,318.2,UTP20,24137222.34,59675300.84,15495416.50,17888621.33,11946940.72,64726334.66,40963229.73,2054038.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16401,Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3,34,14,290,11,22.6,H1-5,160922665.36,675446208.81,149593619.69,83073047.99,23203511.69,371324938.93,108878854.77,17707645.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,41,30,284,21,80.2,DDX17,31555238.59,49828821.58,13112462.31,23067794.10,16853524.56,50798719.79,39458114.07,4143909.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16403,Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,40,16,284,5,21.4,H1-2,1314673.75,11004023.72,3645994.22,1824779.46,590962.84,13894722.03,3115972.80,1807735.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,40,30,279,21,69.1,DDX5,81837230.64,130100993.58,37075596.68,71090177.69,51793184.63,133775220.91,102177140.50,13408167.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N257,Histone H2B type 3-B OS=Homo sapiens OX=9606 GN=H2BC26 PE=1 SV=3,53,8,277,2,13.9,H2BC26,16455869.91,43194097.45,14560239.50,9908517.75,2431302.14,40643144.25,14174513.88,1440473.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N8S7,Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2,48,29,276,29,66.5,ENAH,73126173.97,118962190.17,14835979.47,16295538.89,22770915.67,112179679.78,48959969.81,5597502.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75475,PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1,46,23,275,23,60.1,PSIP1,38262891.58,121796217.63,19381710.12,23415243.27,22432944.62,97668335.83,48430276.10,6079276.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3",20,40,275,25,271.2,SPTBN2,7282992.49,11385847.28,4362703.91,4783660.21,1929459.61,13070088.23,11253616.65,683539.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16402,Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,38,15,273,6,22.3,H1-3,14914683.38,90402785.64,34115015.62,11895148.40,3458307.54,51808184.80,15195855.36,8012125.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9ULV4,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,45,21,270,20,53.2,CORO1C,78129015.96,226709800.38,41190065.21,49700443.78,31288876.46,166673417.03,63753627.42,8103514.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,55,30,268,30,75.4,DDX18,58836438.79,130732895.21,32796522.54,36687025.18,23366993.22,104690587.46,70930873.26,10574049.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14974,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,40,42,266,42,115.2,PPP1R12A,42414329.63,98733486.54,19692036.99,22163804.91,15275611.94,104211207.62,52233082.46,15630816.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15029,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,44,32,261,31,109.4,EFTUD2,12732544.72,60936732.45,12643899.32,22610863.10,10496708.76,56540278.53,29470849.69,21584700.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,33,34,259,34,135.5,SF3B3,15110855.21,83223460.48,19917249.37,32620608.44,13158548.06,62122321.49,33508151.16,37123704.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UM54,Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4,35,46,256,46,149.6,MYO6,48557936.18,46511705.06,16796503.70,21519361.85,18734685.15,46451669.57,38399893.09,5408740.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13045,Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2,30,33,253,33,144.7,FLII,16619137.63,76764823.06,11122585.84,12431901.89,6137366.25,52685824.27,25814737.36,4788276.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q69YQ0,Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3,35,38,253,38,124.5,SPECC1L,28685868.85,91283861.57,16331365.32,17925381.16,8725873.16,91795566.10,38178467.53,8916983.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,46,37,252,37,101.9,SND1,24297726.50,66971977.75,12248099.54,19642499.77,11598879.62,58692600.10,35649491.86,24029453.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09651,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,39,14,252,12,38.7,HNRNPA1,35436985.65,97379682.09,20402494.21,38608787.43,7766748.54,93414854.73,20143525.75,982961.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42285,Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,35,34,242,34,117.7,MTREX,32312499.80,120068336.38,24442604.41,22913905.30,14747146.46,92831804.15,53872760.72,8081963.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,40,41,240,27,121.8,SMARCA5,39762967.47,78505462.49,17441139.38,33983879.22,22924753.47,79281188.25,50010316.98,2716382.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2D5,A-kinase anchor protein 2 OS=Homo sapiens OX=9606 GN=AKAP2 PE=1 SV=3,41,27,232,27,94.6,,25270157.72,47833217.41,9931916.77,8811728.53,12258873.71,60651507.59,39080755.84,1810416.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P43243,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,36,28,231,28,94.6,MATR3,25761765.57,68304676.13,10392983.77,19159475.25,14030397.61,68153971.92,40661424.51,4959545.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46940,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,41,54,228,51,189.1,IQGAP1,31971321.95,34240599.56,10067833.94,9732742.99,18563732.81,41138140.79,26478604.75,1854269.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UQE7,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,41,47,226,47,141.5,SMC3,18255637.53,35982260.13,9327611.18,12256029.75,7916217.36,35691902.52,30683828.61,1448859.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q03701,CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,35,34,225,34,120.9,CEBPZ,36819276.48,51509742.81,11572935.48,20737768.97,17481718.66,63446982.85,42970115.20,2659162.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95782,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,39,32,225,24,107.5,AP2A1,18953439.17,74918963.32,8630679.60,9411551.26,10351105.73,55907991.57,23647244.85,7687309.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14247,Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,57,35,212,35,61.5,CTTN,64684380.68,65799011.55,18648440.31,17017186.81,25568221.59,59683636.56,38001298.89,3215122.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
