Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,66,30,354,25,37.4,HNRNPA2B1,8.01E+07,1.24E+08,2.39E+08,3.57E+08,1.90E+06,9.56E+06,3.83E+07,1.14E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13647,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",61,43,400,24,62.3,KRT5,1.26E+07,3.75E+07,2.12E+07,1.87E+07,1.79E+07,9.28E+06,3.38E+07,6.49E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,55,35,344,22,70.9,HSPA8,6.31E+07,8.58E+07,2.09E+08,2.57E+08,2.80E+06,9.00E+06,3.51E+07,1.38E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60660,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,63,10,133,8,16.9,MYL6,3.52E+07,4.47E+07,1.28E+08,2.14E+08,1.16E+05,8.93E+06,3.26E+07,7.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UM54,Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=4,46,53,266,53,149.6,MYO6,4.78E+07,2.71E+07,5.86E+07,6.81E+07,1.07E+04,8.44E+06,3.32E+07,5.37E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,78,15,107,11,22.1,PRDX1,1.62E+07,1.10E+07,5.10E+07,5.83E+07,1.08E+06,8.31E+06,2.88E+07,9.16E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,42,6,149,6,18,RPS27A,6.98E+06,8.54E+06,3.32E+07,3.79E+07,1.06E+06,8.16E+06,4.62E+07,7.48E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9GZV5,WW domain-containing transcription regulator protein 1 OS=Homo sapiens OX=9606 GN=WWTR1 PE=1 SV=1,49,15,165,15,44.1,WWTR1,5.78E+06,2.45E+07,3.60E+07,3.98E+07,2.02E+06,8.14E+06,1.96E+07,1.11E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16401,Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3,31,12,81,8,22.6,H1-5,9.42E+06,5.19E+06,1.65E+07,3.56E+07,2.14E+04,8.10E+06,5.27E+07,2.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15233,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,51,29,431,26,54.2,NONO,7.98E+07,1.77E+08,3.58E+08,3.86E+08,1.13E+06,7.90E+06,2.73E+07,1.04E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,78,21,261,21,26.7,RPS3,6.36E+07,9.46E+07,1.36E+08,1.62E+08,7.14E+05,7.89E+06,2.29E+07,1.16E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P54652,Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1,22,15,137,2,70,HSPA2,4.66E+06,7.48E+06,9.28E+06,3.87E+06,7.99E+06,7.77E+06,6.83E+06,4.79E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NYL9,Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,64,20,255,18,39.6,TMOD3,9.06E+07,9.70E+07,1.65E+08,2.37E+08,7.20E+04,7.72E+06,3.18E+07,5.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,78,65,949,42,103,ACTN1,1.77E+08,2.57E+08,3.98E+08,4.69E+08,5.13E+05,7.69E+06,2.26E+07,5.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,39,100,372,100,331.6,DSP,6.04E+06,3.32E+07,3.98E+07,6.42E+07,6.05E+06,7.40E+06,5.45E+07,1.46E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51610,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,26,35,231,35,208.6,HCFC1,2.82E+07,3.00E+07,4.08E+07,5.20E+07,2.69E+06,6.97E+06,1.56E+07,5.75E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P258,Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,64,30,281,30,56,RCC2,3.99E+07,4.93E+07,9.79E+07,1.42E+08,6.77E+05,6.90E+06,1.95E+07,4.39E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75367,Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=5,50,15,142,13,39.2,MACROH2A1,1.04E+07,1.59E+07,4.69E+07,6.38E+07,1.12E+05,6.86E+06,4.96E+07,5.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62701,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",61,19,218,19,29.6,RPS4X,8.32E+07,1.36E+08,1.60E+08,2.40E+08,1.86E+06,6.82E+06,1.95E+07,1.04E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q69YQ0,Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=3,52,54,300,54,124.5,SPECC1L,2.26E+07,6.06E+07,1.25E+08,1.82E+08,1.62E+04,6.62E+06,2.85E+07,4.20E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09651,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,51,24,377,19,38.7,HNRNPA1,7.80E+07,1.02E+08,2.00E+08,2.98E+08,1.48E+06,6.49E+06,2.54E+07,7.69E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,62,85,685,85,191.5,CLTC,1.18E+08,1.89E+08,3.83E+08,3.09E+08,6.83E+05,6.26E+06,1.85E+07,6.35E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62280,40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,58,14,127,14,18.4,RPS11,4.08E+07,6.27E+07,9.08E+07,1.38E+08,3.02E+06,6.25E+06,1.33E+07,6.83E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52907,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,67,13,184,11,32.9,CAPZA1,8.50E+07,5.21E+07,1.22E+08,1.33E+08,3.20E+05,6.14E+06,2.17E+07,4.98E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,65,50,411,47,87.3,DDX21,1.14E+08,1.63E+08,3.01E+08,3.44E+08,4.19E+05,6.12E+06,2.91E+07,5.58E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43795,Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3,56,62,500,61,131.9,MYO1B,1.23E+08,1.16E+08,2.96E+08,3.05E+08,5.35E+05,5.93E+06,2.76E+07,5.33E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,55,25,404,25,50.9,HNRNPK,9.34E+07,1.30E+08,2.21E+08,3.11E+08,1.62E+06,5.86E+06,1.85E+07,9.06E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,71,34,222,30,53.6,VIM,1.85E+07,6.51E+06,1.24E+07,5.63E+07,2.61E+06,5.82E+06,2.76E+07,1.77E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P39023,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,58,27,210,27,46.1,RPL3,7.68E+07,9.70E+07,1.74E+08,2.49E+08,5.35E+05,5.80E+06,2.11E+07,8.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62249,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,66,11,102,11,16.4,RPS16,3.88E+07,6.38E+07,8.81E+07,9.21E+07,1.88E+06,5.61E+06,1.85E+07,9.10E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46821,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,4,7,18,7,270.5,MAP1B,3.89E+06,4.10E+06,5.22E+06,3.96E+06,5.02E+06,5.56E+06,2.73E+06,3.44E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",54,26,192,26,59.7,ATP5F1A,1.57E+07,1.40E+07,4.78E+07,9.55E+07,1.24E+06,5.42E+06,1.74E+07,1.14E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47756,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=5,75,26,237,25,30.6,CAPZB,7.01E+07,5.40E+07,1.40E+08,1.37E+08,2.11E+05,5.35E+06,1.93E+07,3.74E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,22,78,239,78,532.1,DYNC1H1,1.58E+07,1.01E+07,3.15E+07,4.01E+07,7.39E+04,5.34E+06,1.74E+07,6.22E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,46,27,103,27,69.3,ALB,8.08E+06,8.67E+06,6.11E+06,6.18E+06,7.21E+06,5.19E+06,2.68E+07,9.18E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08211,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,44,50,346,50,140.9,DHX9,2.99E+07,6.74E+07,1.09E+08,1.75E+08,1.26E+06,5.18E+06,1.23E+07,8.10E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,68,19,191,19,36,GAPDH,5.55E+07,3.55E+07,8.20E+07,9.11E+07,5.87E+06,5.11E+06,1.57E+07,1.53E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9ULU4,Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2,26,24,64,24,131.6,ZMYND8,5.78E+06,1.52E+07,3.63E+07,1.67E+07,3.83E+07,5.02E+06,1.05E+07,1.56E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
